wall_seconds,throughput_emails_per_second,total_bundle_emails
3.978,130.72,520
1.398,371.837,520
1.5,346.729,520
2.0,260.058,520
1.411,368.574,520
1.477,351.984,520
1.569,331.462,520
1.686,308.489,520
1.777,292.67,520
1.717,302.897,520
1.609,323.269,520
1.584,328.181,520
1.675,310.422,520
1.678,309.926,520
1.611,322.797,520
1.727,301.168,520
1.666,312.108,520
1.727,301.125,520
1.676,310.207,520
1.7,305.857,520
1.485,350.21,520
15.962,32.578,520
15.53,33.484,520
14.755,35.243,520
17.25,30.145,520
17.13,30.356,520
15.284,34.023,520
12.739,40.819,520
14.843,35.034,520
14.198,36.626,520
14.286,36.399,520
13.351,38.949,520
13.419,38.752,520
15.429,33.704,520
15.081,34.48,520
18.407,28.251,520
16.039,32.422,520
16.351,31.803,520
37.043,14.038,520
31.915,16.293,520
29.274,17.763,520
23.308,22.31,520
23.722,21.92,520
20.383,25.512,520
17.747,29.301,520
19.422,26.774,520
17.713,29.356,520
25.918,20.063,520
20.494,25.374,520
25.264,20.582,520
20.764,25.044,520
20.444,25.435,520
20.717,25.101,520
20.359,25.541,520
20.456,25.42,520
20.327,25.582,520
20.258,25.669,520
24.116,21.563,520
